,case_order,cust_id,interaction_id,city,state,county,zip,latitude,longitude,population,area,timezone,job,children,age,education,employment,income,marital,gender,churn,outage_sec_wk,email_contact_yr,support_reqs_total,equip_failure_yr,cust_is_techie,contract_term,portable_modem,tablet,internet_service,phone_service,multi_ph_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_bill,pay_method,tenure,monthly_charge,bandwidth_gb_yr,surv_timely_resp,surv_timely_fix,surv_timely_replace,surv_reliability,surv_options,surv_respectful,surv_courteous,surv_active_listening,zscore_income,zscore_support_reqs,zscore_equip_fail
3661,3662,L485651,731e0c6c-853d-4dec-9b29-80d5560aacba,Ross,ND,Mountrail,58776,48.24281,-102.6139,207,Urban,America/Chicago,Mudlogger,3.0,67.0,"Some College, Less than 1 Year",Full Time,152973.0,Divorced,Female,Yes,10.05506,14,3,1,No,Month-to-month,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Mailed Check,15.0,164.4401,1906.0,3,4,4,3,5,3,2,4,4.432215794938497,,
3744,3745,Z624812,fae94fd9-1a02-404c-a52f-7b9e78b8cef4,Milltown,NJ,Middlesex,8850,40.44724,-74.44011,8488,Suburban,America/New_York,Copy,3.0,58.0,Master's Degree,Unemployed,147682.0,Divorced,Female,Yes,5.21292,14,1,1,No,Month-to-month,No,No,DSL,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Electronic Check,15.0,161.3951,1626.0,4,4,4,3,4,4,3,3,4.224769808622429,,
3782,3783,O818301,a53fc37f-fa46-49e5-8e73-8062d1a6811a,Carrollton,GA,Carroll,30117,33.58016,-85.13241,35575,Urban,America/New_York,"Biochemist, clinical",1.0,62.0,"Some College, 1 or More Years, No Degree",Full Time,172372.0,Widowed,Female,No,8.546084,14,0,0,Yes,Two Year,No,Yes,DSL,Yes,Yes,No,No,No,No,No,No,Yes,Electronic Check,8.0,125.1262,1750.0,2,1,2,4,2,2,3,3,5.192798801656583,,
3798,3799,S639183,60355200-a562-4767-a206-7cef231a746c,Wabash,IN,Wabash,46992,40.78605,-85.82911,16352,Urban,America/Indiana/Indianapolis,Quality manager,3.0,39.0,"Some College, 1 or More Years, No Degree",Full Time,131265.0,Widowed,Male,Yes,10.77744,14,0,0,No,One year,Yes,No,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Bank Transfer(automatic),12.0,287.2344,1874.0,5,5,3,4,4,4,3,4,3.581103061816366,,
3810,3811,E202148,96986522-a0ac-4d29-bb1d-8a823d4d6cd7,King And Queen Court House,VA,King and Queen,23085,37.70648,-76.84128,678,Rural,America/New_York,"Scientist, research (medical)",5.0,80.0,Regular High School Diploma,Full Time,128907.0,Widowed,Female,Yes,7.685913,13,2,1,Yes,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Electronic Check,2.0,191.9218,606.0,3,3,3,3,3,4,3,2,3.488652176211889,,
3845,3846,A525577,6924e87d-634e-4934-ab20-e151be8624ba,Roma,TX,Starr,78584,26.57856,-98.98753,19270,Urban,America/Chicago,Tourist information centre manager,3.0,47.0,"Some College, 1 or More Years, No Degree",Full Time,138723.0,Married,Female,Yes,9.621777,15,1,0,No,Month-to-month,No,Yes,DSL,Yes,No,No,No,Yes,No,Yes,Yes,No,Mailed Check,1.0,212.2666,1193.0,2,3,3,3,4,3,3,2,3.8735113335882865,,
3869,3870,H108393,c0a71ddd-409c-4f9d-8873-15203a526b8e,Clifton,NJ,Passaic,7014,40.83149,-74.1355,4971,Urban,America/New_York,"Engineer, civil (consulting)",0.0,57.0,GED or Alternative Credential,Student,128728.0,Married,Female,Yes,5.891563,8,0,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Mailed Check,18.0,274.7186,2046.0,3,4,2,3,3,5,4,4,3.481634064030718,,
3917,3918,K498495,e0e76229-7106-4f4a-b776-d50e93058978,Kerrville,TX,Kerr,78028,30.03422,-99.15819,40447,Urban,America/Chicago,Financial manager,1.0,56.0,GED or Alternative Credential,Retired,121668.0,Separated,Female,No,10.4002,14,0,0,No,One year,No,No,None,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Bank Transfer(automatic),5.0,195.4555,801.0,5,4,3,5,2,5,4,5,3.2048303098459825,,
3953,3954,W937828,29705855-df94-40a4-816d-40fe890c0da8,Diagonal,IA,Ringgold,50845,40.81871,-94.35237,861,Urban,America/Chicago,"Pilot, airline",2.0,19.0,"Some College, Less than 1 Year",Full Time,166553.0,Widowed,Female,Yes,15.70021,14,4,0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Electronic Check,5.0,142.7357,1368.0,4,2,3,3,5,1,3,3,4.964651344772592,,
3985,3986,Y275063,358359fd-20af-4dba-b6c2-f7505004a2d9,Houston,TX,Harris,77019,29.75322,-95.41028,21319,Suburban,America/Chicago,"Accountant, chartered public finance",3.0,76.0,"9th Grade to 12th Grade, No Diploma",Part Time,189938.0,Widowed,Female,Yes,6.1972,12,1,0,No,Month-to-month,Yes,No,None,Yes,Yes,No,No,No,Yes,No,Yes,No,Electronic Check,7.0,157.9691,799.0,4,5,5,2,4,3,5,3,5.881514771346253,,
4008,4009,R264112,36c9be4c-82ef-4a79-9b29-6eb2ddaea613,Springfield,MN,Brown,56087,44.24009,-94.97456,2988,Rural,America/Chicago,Social researcher,1.0,22.0,Master's Degree,Full Time,129474.0,Divorced,Male,Yes,6.557936,13,1,1,No,Month-to-month,No,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Mailed Check,22.0,230.8136,2555.0,3,4,3,4,3,4,4,3,3.5108827326740344,,
4061,4062,L700603,21f809bd-2e83-474e-8f3d-8539e0f29811,Bayside,TX,Refugio,78340,28.12487,-97.21094,440,Urban,America/Chicago,Chiropodist,1.0,55.0,"Some College, 1 or More Years, No Degree",Full Time,126678.0,Married,Female,No,12.0798,16,3,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Credit Card (automatic),20.0,194.7626,2159.0,5,5,5,4,3,4,4,4,3.40125903625753,,
4074,4075,W651542,c6f6c813-95bb-4468-a6b4-8bf83a3e1e6d,Vernonia,OR,Columbia,97064,45.87264,-123.2283,3241,Rural,America/Los_Angeles,"Loss adjuster, chartered",0.0,20.0,Bachelor's Degree,Full Time,119319.0,Married,Female,No,7.836268,11,1,0,No,One year,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Mailed Check,15.0,174.4207,2163.0,4,3,3,4,1,3,5,4,3.112732290217095,,
4107,4108,B846728,a5364ad3-2081-4777-894d-dcc5621210fd,Pulaski,PA,Lawrence,16143,41.1055,-80.45301,2678,Suburban,America/New_York,"Clinical scientist, histocompatibility and immunogenetics",1.0,60.0,Associate's Degree,Full Time,167056.0,Married,Male,No,12.10581,8,1,0,No,Two Year,Yes,No,DSL,Yes,No,No,No,No,No,No,No,No,Bank Transfer(automatic),3.0,92.58978,848.0,3,2,2,4,2,4,4,4,4.984372632074988,,
4159,4160,F782647,f78efa49-7c74-45bb-a6c0-49493659f1c9,San Isidro,TX,Starr,78588,26.73785,-98.39723,204,Rural,America/Chicago,Ceramics designer,2.0,83.0,Nursery School to 8th Grade,Student,125289.0,Separated,Female,Yes,11.49218,12,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Bank Transfer(automatic),2.0,172.409,3477.0,4,3,4,5,2,4,5,5,3.3468000540248672,,
4249,4250,B424726,b185ab4c-7827-4d10-b84a-d1b4e77c1aca,Tionesta,PA,Forest,16353,41.50109,-79.377,2660,Rural,America/New_York,Geochemist,0.0,56.0,"Some College, 1 or More Years, No Degree",Full Time,258901.0,Divorced,Male,No,12.69521,15,1,1,No,Two Year,No,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Credit Card (automatic),9.0,233.4502,1297.0,4,3,4,5,3,3,5,2,8.585369912966922,,
4337,4338,Q291482,59cc363d-32e4-46fd-b6ab-1707531bd152,Fall River,MA,Bristol,2723,41.69271,-71.12968,14279,Rural,America/New_York,"Therapist, drama",8.0,23.0,"Some College, Less than 1 Year",Full Time,130732.0,Divorced,Male,No,5.471012,13,0,0,No,One year,Yes,Yes,None,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Electronic Check,6.0,150.4787,1165.0,3,3,2,4,3,4,4,4,3.560205554595337,,
4375,4376,S433940,838601ca-bf21-43f8-af50-8c642fc4e028,Phoenix,AZ,Maricopa,85041,33.38586,-112.1088,62491,Suburban,America/Phoenix,Games developer,2.0,34.0,Nursery School to 8th Grade,Full Time,134839.0,Divorced,Male,Yes,7.134923,12,0,0,No,Two Year,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Credit Card (automatic),10.0,200.8794,1892.0,3,3,4,3,3,4,4,4,3.721230061456061,,
4406,4407,F81860,9be3a26e-6f3b-45f2-89fd-a5a24a4bf5e7,Mount Sterling,KY,Montgomery,40353,38.06565,-83.94762,22548,Suburban,America/New_York,"Engineer, maintenance",2.0,49.0,Regular High School Diploma,Part Time,156571.0,Separated,Female,Yes,5.440157,11,0,0,No,Month-to-month,No,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,No,Yes,Credit Card (automatic),28.0,125.4883,2906.0,3,3,3,3,3,3,3,5,4.573283770513097,,
4520,4521,F778893,1ebf1499-1fcc-4698-b02c-fa01affff75d,East Millinocket,ME,Penobscot,4430,45.63919,-68.58515,1767,Urban,America/New_York,Financial manager,4.0,57.0,Regular High School Diploma,Retired,118179.0,Widowed,Male,Yes,13.18462,8,3,1,No,Month-to-month,No,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,No,No,Electronic Check,4.0,183.1659,776.0,3,3,3,2,3,3,4,4,3.068035933309078,,
4612,4613,F444920,9ec24bcd-e930-43e1-8c4d-55af74ae4b31,Petersburg,NY,Rensselaer,12138,42.74723,-73.37207,3300,Rural,America/New_York,"Teacher, English as a foreign language",3.0,75.0,"Some College, Less than 1 Year",Full Time,116629.0,Divorced,Male,No,5.616133,13,0,0,No,One year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Bank Transfer(automatic),2.0,158.178,397.0,5,4,5,4,4,3,4,5,3.0072645708464236,,
4904,4905,D88462,763b13cd-6d61-4f14-9732-dfbc229955d5,Lynnwood,WA,Snohomish,98037,47.83922,-122.2854,29402,Rural,America/Los_Angeles,Financial manager,4.0,54.0,Bachelor's Degree,Student,162843.0,Married,Male,Yes,7.850233,12,1,1,Yes,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Electronic Check,6.0,163.2037,1918.0,5,4,4,4,3,5,4,4,4.8191921481684314,,
5099,5100,B18063,904ef8a9-4ff0-4bc8-88bc-efc07be52864,Clinton,NY,Oneida,13323,43.04175,-75.37912,11097,Urban,America/New_York,"Horticulturist, amenity",2.0,84.0,"Some College, 1 or More Years, No Degree",Full Time,129137.0,Divorced,Female,No,13.22746,9,1,1,No,One year,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Credit Card (automatic),67.0,162.9522,6197.0,5,6,5,4,4,4,5,4,3.4976698622547344,,
5110,5111,Q734676,8c1cb465-1f02-4ee3-976a-dec294e0942f,White Sulphur Springs,NY,Sullivan,12787,41.79795,-74.83527,377,Urban,America/New_York,"Engineer, building services",1.0,63.0,"Some College, 1 or More Years, No Degree",Full Time,120650.0,Separated,Female,No,5.845997,8,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Electronic Check,50.0,215.6065,4445.0,4,5,4,3,3,4,5,4,3.1649172472737357,,
5331,5332,K202134,20fde10c-bb9f-4790-8800-4b62772a7440,Ashland,OR,Jackson,97520,42.15773,-122.5513,25030,Suburban,America/Los_Angeles,Radiation protection practitioner,2.0,56.0,"9th Grade to 12th Grade, No Diploma",Full Time,151312.0,Divorced,Male,No,7.68097,8,1,0,No,Month-to-month,No,No,DSL,Yes,No,No,Yes,Yes,Yes,No,No,No,Electronic Check,64.0,140.0765,6023.0,5,4,3,2,3,5,4,4,4.367092418776903,,
5332,5333,I473929,2cec2915-0fd8-492b-827c-a7a780356458,Whitewater,CA,Riverside,92282,33.9655,-116.6587,1373,Suburban,America/Los_Angeles,Financial manager,4.0,56.0,Regular High School Diploma,Full Time,135892.0,Separated,Female,No,2.990195,17,1,0,No,Month-to-month,No,Yes,DSL,Yes,No,No,Yes,No,Yes,No,No,Yes,Electronic Check,54.0,127.9744,4142.0,5,6,5,4,4,4,4,4,3.762515380600045,,
5348,5349,P814149,6a4677e6-467a-4e7f-99fe-8a79d6ecbd7a,Merchantville,NJ,Camden,8109,39.95038,-75.05044,22385,Rural,America/New_York,"Psychologist, educational",5.0,55.0,Regular High School Diploma,Full Time,146518.0,Widowed,Female,No,4.215563,10,3,1,No,Month-to-month,No,No,DSL,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Bank Transfer(automatic),49.0,142.7356,4831.0,3,4,3,4,4,3,2,4,4.1791324757795065,,
5380,5381,E41379,ac788312-8113-4ecc-b05e-4575bf8f51ab,Dayton,OH,Montgomery,45406,39.78436,-84.24166,19432,Suburban,America/New_York,Chartered accountant,0.0,28.0,"Some College, 1 or More Years, No Degree",Full Time,120325.0,Never Married,Female,No,13.27275,9,1,1,No,Month-to-month,No,Yes,DSL,Yes,Yes,No,Yes,No,No,No,No,Yes,Credit Card (automatic),71.0,147.3836,6499.0,4,4,4,3,4,3,3,4,3.152174864821889,,
5388,5389,C540743,0e28284f-4a62-45f0-87f1-bcbfc5e7e403,Imperial,NE,Chase,69033,40.56053,-101.6785,2416,Rural,America/Denver,Logistics and distribution manager,0.0,83.0,Associate's Degree,Retired,152814.0,Divorced,Male,No,14.31309,13,1,1,No,Month-to-month,No,No,DSL,Yes,No,No,No,Yes,Yes,No,No,No,Electronic Check,54.0,119.6085,4900.0,6,4,4,3,5,3,2,4,4.425981829369747,,
5401,5402,B250151,67e6926a-c2a1-4a11-a99e-dabafe8c2642,Grampian,PA,Clearfield,16838,40.99368,-78.64028,1833,Rural,America/New_York,IT technical support officer,2.0,78.0,"9th Grade to 12th Grade, No Diploma",Part Time,141363.0,Widowed,Female,No,10.23355,13,1,0,Yes,Two Year,No,Yes,None,Yes,No,No,Yes,No,Yes,No,No,Yes,Electronic Check,65.0,115.8512,5042.0,2,3,3,5,4,3,3,3,3.9770186864279045,,
5405,5406,N502032,c47c3132-ea4d-40da-aace-b206083b3cc1,Heidelberg,MS,Jasper,39439,31.85486,-89.01243,4245,Suburban,America/Chicago,Tourism officer,2.0,26.0,"9th Grade to 12th Grade, No Diploma",Full Time,131834.0,Married,Male,No,41.08598,12,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Electronic Check,57.0,213.6948,5228.0,4,3,4,3,5,3,5,3,3.603412032939753,,
5464,5465,I392175,bac43d66-db2f-46c6-8e12-f1a7eda8409a,Nashua,IA,Chickasaw,50658,42.95699,-92.53562,2301,Suburban,America/Chicago,Primary school teacher,9.0,77.0,Regular High School Diploma,Student,124736.0,Never Married,Male,No,35.6453,13,0,2,No,Two Year,No,No,Fiber Optic,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Mailed Check,53.0,293.5347,5276.0,4,5,4,5,3,4,3,4,3.325118400191417,,
5553,5554,H710205,19ce6c55-c28e-485a-9077-5bc0dc408c03,Santa Clara,CA,Santa Clara,95053,37.34874,-121.9376,3678,Urban,America/Los_Angeles,Environmental manager,0.0,43.0,Regular High School Diploma,Full Time,131648.0,Married,Male,No,10.43275,12,0,0,No,Month-to-month,No,Yes,DSL,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Credit Card (automatic),61.0,163.139,5782.0,4,5,5,3,5,4,4,4,3.596119469444235,,
5583,5584,X860092,1816cd38-5adf-4542-b0a2-21f6b25195ab,Monterey,TN,Putnam,38574,36.13736,-85.23317,8377,Rural,America/Chicago,"Designer, graphic",2.0,46.0,"Some College, 1 or More Years, No Degree",Full Time,160863.0,Divorced,Male,No,1.599049,11,1,2,No,One year,Yes,No,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Credit Card (automatic),63.0,190.5816,2190.0,5,4,4,3,3,5,5,4,4.741561633538718,,
5603,5604,D861252,f7830f07-20c7-4b18-8692-9b4cca9c61ed,Gainesville,GA,Hall,30506,34.35006,-83.89365,44468,Urban,America/New_York,"Surveyor, hydrographic",8.0,50.0,Associate's Degree,Full Time,116563.0,Widowed,Male,No,8.461763,18,1,0,No,One year,No,Yes,DSL,Yes,No,Yes,No,No,No,Yes,No,Yes,Electronic Check,47.0,119.0823,4839.0,3,2,2,1,4,3,3,2,3.0046768870254335,,
5678,5679,R310574,d44ccc0a-219c-4437-8357-379f7bac9574,Lakeville,MA,Plymouth,2347,41.83127,-70.95914,11335,Rural,America/New_York,Social researcher,1.0,56.0,Regular High School Diploma,Full Time,135517.0,Separated,Male,No,12.20045,10,0,0,No,Month-to-month,No,No,DSL,Yes,No,Yes,No,No,No,No,Yes,No,Credit Card (automatic),68.0,130.1324,6336.0,5,4,4,5,4,3,5,4,3.7478126316171445,,
5801,5802,Z110883,0e78faa9-b722-403b-9c6a-b91f2d4f78fe,Chicora,PA,Butler,16025,40.94468,-79.75638,5237,Suburban,America/New_York,"Surveyor, planning and development",2.0,52.0,Regular High School Diploma,Retired,212255.0,Never Married,Female,No,9.833934,10,0,1,Yes,Month-to-month,No,No,None,Yes,No,No,No,No,No,Yes,No,No,Electronic Check,59.0,106.4319,5080.0,3,3,3,4,4,3,4,3,6.756504768816613,,
5852,5853,R892929,772a6a21-fabd-41a6-9bcd-3d18635eff4d,Island Park,NY,Nassau,11558,40.60481,-73.64927,8217,Urban,America/New_York,Early years teacher,1.0,60.0,Regular High School Diploma,Retired,120330.0,Separated,Male,No,9.975881,11,2,1,Yes,One year,Yes,Yes,None,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Electronic Check,41.0,184.9362,3832.0,5,4,5,3,3,4,4,3,3.152370901474994,,
6034,6035,N720342,7847e118-3983-4af0-8975-30ff9b158257,Dahlgren,VA,King George,22448,38.3405,-77.03217,649,Suburban,America/New_York,"Lighting technician, broadcasting/film/video",1.0,68.0,"Some College, Less than 1 Year",Full Time,131680.0,Married,Female,Yes,11.97712,12,0,0,Yes,Month-to-month,No,Yes,None,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Bank Transfer(automatic),58.0,181.7364,5322.0,2,3,3,3,3,2,3,3,3.5973741040241087,,
6130,6131,S753517,e8c5c49c-a54e-4d91-bcf9-50ac0121f95d,Santa Ynez,CA,Santa Barbara,93460,34.64865,-120.0245,4929,Rural,America/Los_Angeles,Industrial/product designer,1.0,43.0,"Some College, Less than 1 Year",Part Time,167846.0,Separated,Prefer not to answer,No,11.99221,7,3,1,No,One year,No,No,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Mailed Check,63.0,183.5283,5902.0,2,2,1,3,3,3,3,2,5.0153464232656315,,
6136,6137,E536348,5c09bb61-c75e-42e5-abf2-934f88956abf,North Freedom,WI,Sauk,53951,43.39197,-89.87219,2288,Rural,America/Chicago,Therapeutic radiographer,4.0,54.0,Regular High School Diploma,Part Time,132150.0,Separated,Female,No,7.301931,10,1,0,No,Two Year,No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Electronic Check,47.0,258.7898,4768.0,2,3,2,3,4,3,4,4,3.6158015494160107,,
6155,6156,H368190,d17d8f53-9600-417d-963e-24b7e585a2d1,Unionville,VA,Orange,22567,38.23435,-77.9237,3079,Suburban,America/New_York,Radiation protection practitioner,2.0,68.0,"Some College, Less than 1 Year",Student,129787.0,Never Married,Male,No,10.97408,11,0,0,No,Two Year,No,No,Fiber Optic,Yes,No,No,No,No,No,No,No,Yes,Bank Transfer(automatic),57.0,111.7607,4238.0,4,3,3,4,5,3,4,5,3.523154627158428,,
6219,6220,T258326,7b07185e-4850-4179-a3d2-baf865a0254b,Hudson,CO,Weld,80642,40.04671,-104.6152,3842,Rural,America/Denver,"Librarian, academic",3.0,39.0,Regular High School Diploma,Full Time,123206.0,Never Married,Male,No,10.39293,8,1,0,No,Two Year,No,No,None,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Electronic Check,63.0,172.8152,5594.0,3,2,3,2,5,2,2,2,3.265131184341184,,
6266,6267,N774071,3e1f4023-3e2b-4fce-beee-554ce593fc03,Pickens,SC,Pickens,29671,34.93511,-82.72151,17642,Urban,America/New_York,"Buyer, retail",8.0,24.0,Bachelor's Degree,Full Time,120864.0,Never Married,Female,No,11.57667,17,0,0,No,Two Year,No,No,Fiber Optic,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Bank Transfer(automatic),64.0,182.4113,5790.0,5,4,3,5,3,4,2,4,3.1733076160266442,,
6284,6285,N566444,d850cc68-2c61-482e-bd18-b8523b78d45f,Cascade,VA,Pittsylvania,24069,36.58325,-79.6348,2087,Suburban,America/New_York,Psychiatrist,2.0,59.0,"9th Grade to 12th Grade, No Diploma",Full Time,119416.0,Divorced,Male,No,9.594206,11,5,1,No,Month-to-month,Yes,No,None,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Credit Card (automatic),65.0,163.2855,5822.0,1,1,2,5,2,3,3,2,3.1165354012873387,,
6420,6421,Y590115,72e2e6d6-ce2d-45cf-9f36-1779fc2e9d11,Fort Payne,AL,DeKalb,35968,34.48975,-85.7657,4584,Urban,America/Chicago,Training and development officer,4.0,44.0,"Some College, Less than 1 Year",Full Time,121445.0,Married,Male,No,7.625902,16,2,1,Yes,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,No,No,Yes,No,No,Bank Transfer(automatic),68.0,160.7468,6102.0,5,5,4,3,4,4,4,5,3.196087075117484,,
6512,6513,I800085,ef0ce881-0055-4357-bce8-98f8c0343a62,New Braunfels,TX,Comal,78130,29.69772,-98.0702,74172,Suburban,America/Chicago,Agricultural engineer,3.0,80.0,Bachelor's Degree,Part Time,146318.0,Divorced,Male,No,8.599875,12,2,1,No,Month-to-month,No,No,DSL,Yes,Yes,No,Yes,No,No,No,No,Yes,Mailed Check,57.0,146.889,5736.0,4,4,4,2,5,4,4,2,4.1712910096552935,,
6661,6662,R983561,d5557153-e894-4c98-8e7f-d7fd800aca7e,Glendale Springs,NC,Ashe,28629,36.34023,-81.36513,0,Urban,America/New_York,"Conservation officer, historic buildings",1.0,84.0,"Some College, 1 or More Years, No Degree",Part Time,123991.0,Never Married,Female,No,11.60816,12,2,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Mailed Check,63.0,263.5318,5705.0,4,4,4,3,3,4,4,5,3.2959089388787217,,
6766,6767,X147440,ac2a9673-5e15-47eb-a93c-09a9c3608e78,Bismarck,ND,Burleigh,58501,46.81869,-100.702,30050,Rural,America/Chicago,Learning mentor,5.0,44.0,No Schooling Completed,Full Time,146958.0,Separated,Female,No,42.3594,8,0,1,No,One year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Electronic Check,70.0,212.8141,6312.0,3,3,3,3,4,4,3,4,4.196383701252777,,
6807,6808,S631327,f73d7d97-6b80-474d-981e-b7c62f037b5d,San Ramon,CA,Contra Costa,94582,37.76352,-121.9154,42059,Rural,America/Los_Angeles,Contracting civil engineer,2.0,69.0,"Some College, 1 or More Years, No Degree",Full Time,127578.0,Separated,Female,No,11.63107,14,1,0,Yes,Month-to-month,No,Yes,None,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Electronic Check,67.0,187.2643,5957.0,4,3,4,4,5,4,4,4,3.4365456338164906,,
6837,6838,L820987,296ed4a8-b450-41b0-b5fd-109186b7ef20,Saint Jo,TX,Montague,76265,33.74828,-97.54502,1602,Rural,America/Chicago,Chief Operating Officer,1.0,35.0,"Some College, 1 or More Years, No Degree",Full Time,194551.0,Divorced,Female,No,8.315082,11,1,0,Yes,Month-to-month,No,Yes,None,No,No,No,No,Yes,Yes,Yes,Yes,No,Mailed Check,54.0,200.5407,5592.0,2,3,4,2,6,2,4,2,6.062378187501237,,
6930,6931,L79617,2623aa46-894e-4761-9fe3-27f9d5a8b7d9,Fruitvale,TX,Van Zandt,75127,32.69118,-95.79338,1740,Rural,America/Chicago,Clinical molecular geneticist,1.0,51.0,Associate's Degree,Student,124025.0,Never Married,Male,No,11.58367,10,3,0,No,One year,Yes,No,DSL,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Mailed Check,72.0,163.027,5008.0,4,3,3,3,3,4,4,3,3.297241988119838,,
7056,7057,X376884,25118fbd-00e8-4ab5-986e-6db848d1ca3e,Juntura,OR,Malheur,97911,43.75426,-118.057,78,Rural,America/Boise,Health physicist,1.0,20.0,Regular High School Diploma,Student,139625.0,Separated,Female,No,8.75073,10,2,2,Yes,One year,No,Yes,None,Yes,No,No,No,No,No,Yes,No,No,Electronic Check,68.0,104.9346,5889.0,4,4,3,6,4,2,2,3,3.908876345808489,,
7061,7062,U738468,25afc44c-361a-455b-aac3-f5b8f7449b3c,Breaux Bridge,LA,St. Martin,70517,30.29484,-91.82955,27314,Suburban,America/Chicago,Environmental manager,4.0,56.0,Regular High School Diploma,Part Time,118071.0,Widowed,Female,No,13.37744,17,0,0,No,One year,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,No,No,No,Yes,Bank Transfer(automatic),68.0,158.8225,5856.0,3,3,2,2,4,2,2,2,3.063801541602003,,
7225,7226,W588734,5577923c-4f5d-4dad-8486-eeb82a0ea38c,Wayne,WV,Wayne,25570,38.23109,-82.42179,6023,Urban,America/New_York,Clinical cytogeneticist,3.0,83.0,"9th Grade to 12th Grade, No Diploma",Full Time,121964.0,Widowed,Female,No,14.0193,10,2,0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Credit Card (automatic),70.0,262.6377,6336.0,4,5,3,5,2,3,3,4,3.2164356797098184,,
7272,7273,Z960003,23f9c0bb-9014-46d5-aa36-cbf67f2e7bfb,Oklahoma City,OK,Oklahoma,73130,35.45863,-97.34557,20604,Urban,America/Chicago,Armed forces technical officer,0.0,30.0,Regular High School Diploma,Part Time,146545.0,Widowed,Male,No,11.31942,9,0,0,No,Month-to-month,No,No,None,No,No,Yes,No,No,Yes,No,Yes,Yes,Credit Card (automatic),68.0,129.2076,5927.0,2,2,2,4,3,3,2,3,4.1801910737062755,,
7381,7382,Z940031,8c951a4c-9261-4b9a-a3f9-727616cca744,Medicine Lodge,KS,Barber,67104,37.27084,-98.65218,2349,Suburban,America/Chicago,Radio broadcast assistant,4.0,66.0,"Some College, 1 or More Years, No Degree",Part Time,118983.0,Married,Male,No,11.27738,13,1,1,No,One year,No,Yes,DSL,No,Yes,No,No,No,No,No,Yes,Yes,Bank Transfer(automatic),70.0,159.432,6549.0,4,5,6,3,4,3,3,4,3.0995586271284163,,
7502,7503,A314084,a0ee80df-8c92-4744-b987-d78daaad866f,Ames,IA,Story,50010,42.03362,-93.58827,33965,Suburban,America/Chicago,Town planner,3.0,26.0,"Some College, 1 or More Years, No Degree",Full Time,137978.0,Separated,Male,No,5.072411,8,0,1,No,Month-to-month,Yes,No,DSL,Yes,No,No,No,No,Yes,Yes,No,Yes,Electronic Check,64.0,130.2326,6001.0,3,3,3,2,5,3,2,4,3.8443018722755915,,
